Question,Answer,Difficulty Level,Count,Keyword
What is the difference between a process and a thread?,"A process is an independent program that is separate from other running programs, whereas a thread is a part of a process that can run concurrently with other threads within the same process.",Medium,1,"process, thread, program, concurrency, operating system, multitasking"
What is memory-mapped I/O?,Memory,Medium,1,memory
What is load balancing in operating systems?,"Load balancing is a technique used in operating systems to distribute network traffic evenly across multiple computers, known as nodes or servers, to improve responsiveness, reliability, and scalability.",Medium,2,"Load balancing, operating systems, network traffic, distributing traffic, nodes, servers, scalability, reliability"
What is time-sharing?,Time,Easy,4,time
What is the difference between cooperative and preemptive multitasking?,"Cooperative multitasking is a technique where multiple programs voluntarily yield control to other programs, allowing multiple tasks to share the CPU. Preemptive multitasking, on the other hand, is a technique where the operating system interrupts a program's execution to allocate CPU time to other programs.",Medium,1,"multitasking, operating system, cooperative, preemptive, CPU time, yield control, interrupt."
What is deadlock detection?,"Deadlock detection is a process in operating systems that identifies and resolves deadlocks, which occur when two or more processes are blocked indefinitely, each waiting for the other to release a resource.",Medium,1,"deadlock, detection, operating systems, process, resource, deadlock resolution"
What is a system boot process?,"The system boot process is the process by which a computer starts up and becomes ready to use. It involves the loading of the operating system, device drivers, and other essential software components.",Medium,1,"system boot, startup, computer initialization, operating system, device drivers, boot process, boot sequence"
What is the difference between an absolute path and a relative path in Unix?,"An absolute path in Unix refers to a path that is specified from the root directory (/), whereas a relative path is a path specified from the current working directory. Absolute paths are usually written in the format /path/to/resource, while relative paths can be written in the format ./path/to/resource or even just path/to/resource.",Easy,64,"Unix, absolute path, relative path, root directory, current working directory, path syntax"
What is preemptive multitasking?,"Preemptive multitasking is a computer operating system�s ability to manage multiple tasks simultaneously by rapidly switching between them, allocating the CPU as needed, and giving priority to the most urgent tasks.",Medium,2,"multitasking, operating system, CPU, scheduling, priority"
What is process isolation in operating systems?,"Process isolation is a mechanism in operating systems that isolates processes from each other, preventing them from accessing or modifying each other's memory, resources, and data. This ensures that if one process crashes or is compromised by malware, it cannot affect the other processes.",Medium,0,"process isolation, operating systems, memory protection, resource isolation, data protection, process separation, system security"
What is the difference between a command interpreter and a shell?,"A command interpreter is a program that reads and executes commands given to it by the user, whereas a shell is a command",Medium,1,"command interpreter, shell, command"
What is a thread pool?,"A thread pool is a group of active threads that are waiting for tasks to execute, allowing for efficient management of resources and scalability in software applications.",Medium,2,"threading, concurrency, thread management, scalability, resource allocation"
What is a kernel module?,"A kernel module is a piece of software that interacts with the Linux kernel, extending its functionality or modifying its behavior. It is a self",Medium,1,"kernel module, Linux, kernel, software, interact, extend, modify, functionality, behavior, code, memory, space, data structures"
What is memory overcommitment?,"Memory overcommitment is a technique used in some virtualization platforms, where the total amount of physical memory available exceeds the total amount of memory allocated to all running virtual machines (VMs). This allows multiple VMs to share the available physical memory, potentially increasing the overall system utilization.",Medium,1,"memory overcommitment, virtualization, virtual machines, physical memory, memory allocation"
What is a file system cache?,A file system cache is a region of a computer's memory (RAM) where frequently,Easy,4,"file system, cache, memory, RAM, storage device, hard drive, data, performance."
What is system-level programming?,System,Medium,1,system
What is file encryption?,"File encryption is the process of converting digital data into a code that cannot be read or understood by unauthorized individuals, using an encryption algorithm and a secret key.",Medium,3,"file, encryption, data, algorithm, key, code, unauthorized, security"
What is multi-user operating system?,A multi,Medium,1,"operating system, multi"
What is inter-process communication (IPC)?,Inter,Medium,1,Inter
What is a process scheduler?,"A process scheduler is a component of the operating system that is responsible for allocating system resources, such as CPU time and memory, to processes.",Easy,3,"process scheduler, operating system, CPU time, memory, process management"
What is load balancing in operating systems?,"Load balancing is a technique used in operating systems to distribute network traffic evenly across multiple servers to improve response times, increase capacity, and availability. It helps to ensure that no single server becomes overwhelmed and becomes a single point of failure.",Medium,2,"load balancing, operating systems, network traffic, servers, scalability, availability, distribution"
What is page replacement in an operating system?,"Page replacement is a technique used in operating systems to handle a situation that arises when a program in memory requires a page that is no longer available in physical memory. When this happens, the OS identifies a page that is not currently being used by the program and replaces it with the required page.",Easy,3,"page replacement, operating system, memory management, virtual memory, physical memory, process memory, page fault, free page"
What is kernel threading?,"Kernel threading is a programming technique that allows multiple threads to be executed concurrently, where the kernel (operating system) switches between threads to allocate processing time.",Medium,1,"kernel, threading, concurrency, processing, time, threads, os, operating system"
What is a process identifier (PID)?,"A process identifier (PID) is a unique number assigned to each process running on an operating system, used to distinguish it from other processes.",Easy,4,"Process, Identifier, PID, Operating System, Uniqueness, Running Processes"
What is a kernel module?,A kernel module is a small piece of code that adds a specific feature or functionality to the Linux kernel. It is loaded into the kernel and executed as part of the kernel's execution.,Medium,1,"kernel, module, Linux, kernel module, kernel feature, kernel functionality, kernel execution"
What is virtual memory?,Virtual memory is a memory management technique that allows a computer to use more memory than is physically available by temporarily transferring pages of memory to and from the hard disk storage. This allows the system to run applications that require more memory than is available in the physical RAM.,Medium,1,"virtual memory, memory management, RAM, hard disk storage, paging, disk swapping"
What is a system call in Unix?,"In Unix, a system call is a request to the kernel for a service, such as process creation, file I/O, or memory allocation. System calls provide a way for user",Medium,0,"Unix, system call, kernel, process creation, file I/O, memory allocation"
What is thrashing in operating systems?,"Thrashing is a phenomenon in computer systems where the CPU and memory are used inefficiently, resulting in a significant decrease in system performance. This occurs when the operating system constantly swaps processes in and out of memory, causing a rapid ping",Medium,1,"operating systems, CPU, memory, thrashing, swapping, performance"
What is a deadlock avoidance algorithm?,A deadlock avoidance algorithm is a method used to prevent deadlocks in a system by ensuring that each process or thread is blocked from waiting for a resource that is held by another process or thread until all the necessary resources are available.,Medium,2,"Deadlock, Avoidance Algorithm, Resource Allocation, Process, Thread, Operating System"
What is a buffer in memory management?,A buffer in memory management is a region of a computer's memory temporarily stores data that is being copied from one place to another. It is used to improve the performance of memory,Medium,1,"memory management, buffer, data transfer, memory"
What are file access permissions in Unix?,"In Unix, file access permissions are used to regulate access to files and directories by controlling whether a user can read, write, or execute the file. The permissions are set using a three",Easy,4,"Unix, file access, permissions, read, write, execute, owner, group, other."
What is a session manager in operating systems?,A session manager is a system process that manages multiple shell sessions on a multi,Medium,0,"session manager, operating system, multi"
What is a virtual file system?,A virtual file system is a software,Medium,4,"virtual file system, software"
What is system performance monitoring?,"System performance monitoring is the process of tracking and analyzing the behavior and capacity of an information system or a network to ensure that it performs at an optimal level, spotting bottlenecks, and identifying areas for improvement to guarantee efficient and effective service delivery.",Medium,1,"system performance, monitoring, tracking, analysis, behavior, capacity, bottleneck, improvement, efficiency, effectiveness"
What is an operating system kernel mode?,"An operating system kernel mode refers to the highest level of privileges in an operating system, allowing it to have direct access to hardware resources and manage the system's resources. In this mode, the kernel has control over the execution of software instructions and can execute privileged instructions that normal user",Medium,0,"operating system, kernel mode, privileges, hardware resources, user"
What is memory fragmentation?,"Memory fragmentation is a phenomenon that occurs in computer systems where the available memory is divided into small, non",Medium,1,"memory, fragmentation, computer systems, free memory, allocation, non"
What is file journaling?,"File journaling is a feature in operating systems that maintains a record of all disk operations, including creates, deletes, and modifies, for auditing, recovery, or troubleshooting purposes.",Easy,4,"file journaling, disk operations, auditing, recovery, troubleshooting, operating system"
What is a file system cache?,A file system cache is a small region of a computer's primary memory (RAM) that stores frequently,Medium,4,"file system cache, RAM, primary memory, metadata, file system, cache, memory"
What is dynamic memory allocation?,"Dynamic memory allocation is a method of allocating memory to a program at runtime, whereas static memory allocation is done at compile time. This allows a program to allocate memory only when it is needed, which can be more efficient in terms of memory usage.",Medium,1,"dynamic memory allocation, static memory allocation, runtime, compile time, memory usage, efficiency"
What is a file control block?,"A file control block (FCB) is a data structure used in operating systems to describe the attributes of a file, such as its name, location, and permissions.",Medium,1,"file control block, FCB, operating system, file attributes, file description"
What is swapping in memory management?,"Swapping is a technique used in memory management, where a portion of the main memory is used to store pages of a program when the program requires more memory than is currently available. The stored pages are temporarily swapped to the hard disk storage.",Medium,1,"memory management, swapping, main memory, program, pages, hard disk storage"
What is a priority scheduler?,"A priority scheduler is a type of CPU scheduling algorithm that allocates the CPU to a process based on its priority, with higher",Medium,3,"CPU, scheduling, algorithm, priority, processes"
What is a file system?,"A file system is a way to organize and store files on a computer or other devices. It is a hierarchical structure that allows users to create and manage directories, subdirectories, and files.",Easy,3,"file system, organization, storage, computer, hierarchy, directories, subdirectories, files"
What is a file descriptor?,"A file descriptor is a small integer that the operating system uses to identify a file or other input/output resource, such as a terminal or network connection. It is used to handle the I/O operations by specifying the file or resource to read from or write to.",Medium,1,"File descriptor, operating system, file, I/O, input/output, integer"
What are the advantages of multi-threading?,Multi,Medium,1,multi
What is a page table?,A page table is a data structure used by an operating system to store the mapping of virtual addresses used by a process to the physical addresses in memory where the pages of the process are located.,Medium,1,"page table, virtual addresses, physical addresses, memory management, operating system"
What is a swap space?,"A swap space, also known as pagefile or paging space, is a special area on a hard drive that is used to store data that the operating system cannot hold in its main memory (RAM) because it is full.",Easy,4,"swap space, pagefile, paging space, RAM, main memory"
What is a file system hierarchy?,"A file system hierarchy is the way in which files and directories are organized on a computer. It provides a structure for storing, retrieving, and managing files on a computer, allowing for easy navigation and organization.",Easy,4,"file system, hierarchy, directories, files, organization, computer"
What is the difference between an absolute path and a relative path in Unix?,"An absolute path in Unix is a file path that starts from the root directory (/), while a relative path is a file path that starts from the current working directory. An absolute path is typically represented by a leading slash (/) and can be used to locate a file independently of the current working directory, whereas a relative path is a series of directories and filenames that are relative to the current working directory.",Medium,64,"Unix, path, absolute, relative, root directory, current working directory, leading slash"
What is a symbolic link in a file system?,"A symbolic link is a special type of file that contains a reference to another file or directory, allowing users to access the linked file or directory without having to change directories or filenames.",Easy,4,"symbolic link, file system, reference, file, directory, links"
What is an interrupt handler?,"An interrupt handler is a type of subroutine or procedure that handles and responds to interrupts generated by hardware devices, such as keyboard presses, network packets, or timer events. Interrupt handlers are used to manage the flow of program execution by handling interrupts, returning control to the interrupted program, and allowing it to continue executing where it left off.",Easy,3,"interrupt handler, subroutine, hardware devices, interrupts, program execution, flow control"
What is cooperative multitasking?,"Cooperative multitasking is a way of running multiple processes or threads simultaneously on a single CPU, where each process or thread yields control voluntarily to the next one, allowing them to run in a shared manner.",Medium,2,"multitasking, cooperative, processes, threads, CPU, yield"
What are the differences between Linux and Windows operating systems?,"Linux and Windows operating systems differ in their architecture, license, and usage. Linux is an open",Medium,1,"Linux, Windows, operating systems, open"
What is a virtual machine in the context of operating systems?,"A virtual machine (VM) is a software emulation of a physical computer, allowing multiple operating systems to run on a single physical host machine, each with its own virtual hardware resources.",Easy,4,"virtual machine, operating system, software emulation, physical computer, hardware resources"
What is a session manager in operating systems?,A session manager is a program that manages multiple user sessions on a multi,Medium,0,"session manager, operating system, multi"
What is the purpose of a bootloader in an operating system?,A bootloader is a low,Medium,3,"bootloader, operating system, boot process, software, initialization, low"
What is system memory in an operating system?,"System memory, also known as RAM (Random Access Memory), is a type of computer memory that temporarily stores data and applications while a computer is running.",Easy,3,"system memory, RAM, Random Access Memory, computer memory, operating system"
What is a virtual file system?,A virtual file system is a software,Easy,4,"virtual file system, file abstraction, software"
What is a kernel module?,A kernel module is a piece of code that extends the functionality of the Linux kernel. It is loaded into memory and runs in kernel mode to provide specific services or features to the operating system and its applications.,Medium,1,"kernel, module, Linux, kernel mode, operating system, extension, functionality, services, features"
What is the boot process in Unix-like systems?,The boot process in Unix,Medium,1,"Unix, boot process, BIOS, UEFI, firmware, Power"
What is the difference between a process and a task?,"A process is a series of tasks that work together to achieve a specific goal, whereas a task is a single action or activity that contributes to the process.",Medium,1,"process, task, series, goal, action, activity, workflow"
What is a file system cache?,"A file system cache is a buffer in the operating system where frequently accessed data is stored. This cache helps to improve the performance of file system operations by reducing the time it takes to access files, as the data is already stored in memory.",Hard,4,"file system, cache, buffer, memory, performance, operating system, disk access"
What is task scheduling in an operating system?,"Task scheduling is a mechanism in an operating system that allows multiple tasks or processes to share the available system resources, such as CPU and memory, efficiently and fairly.",Easy,4,"Task scheduling, operating system, CPU, memory, system resources, processes, multitasking, resource allocation."
What is the significance of the root directory in Unix?,The root directory is the top,Easy,4,"Unix, root directory, file system, top"
What is system-level programming?,System,Medium,1,system
What is a priority scheduler?,"A priority scheduler is a type of CPU scheduling algorithm where the process with the highest priority is executed first. The priority is determined by assigning a priority value to each process based on factors such as memory requirements, I/O requests, and elapsed time.",Medium,3,"priority, scheduler, CPU, scheduling algorithm, process, priority value, memory requirements, I/O requests, elapsed time"
What is a disk cache?,A disk cache is a region of a computer's storage device where frequently,Easy,4,"disk cache, storage, computer, cache, data, storage device, frequently"
What are the different types of file systems?,"The different types of file systems include Hierarchical File System (HFS), File Allocation Table (FAT), New Technology File System (NTFS), ext2, ext3, ext4, XFS, JFS, and others.",Hard,4,"File systems, HFS, FAT, NTFS, ext2, ext3, ext4, XFS, JFS, hierarchical, allocation, technology."
